mrna	4240
cdna	3275
encodes	3199
encoding	2740
locus	2649
mutations	2474
transcript	2364
mutation	2305
transcripts	2243
coding	2211
binds	2028
induced	1991
interacts	1956
mediated	1946
mutant	1914
chromosome	1853
exon	1818
regulates	1765
localized	1733
amino	1716
anti	1711
accession	1708
overexpression	1694
variants	1645
decreased	1640
genbank	1601
deletion	1578
variant	1566
allele	1548
mutants	1538
deficient	1535
genomic	1530
inhibits	1432
knockout	1421
primers	1418
interact	1360
transfected	1342
constructs	1341
regulated	1341
exons	1331
primer	1331
encoded	1326
plasmid	1313
induces	1279
bind	1275
analyzed	1271
activation	1259
cloned	1256
exhibited	1246
actin	1245
promotes	1236
alleles	1234
polymorphisms	1233
staining	1216
contributes	1203
clone	1199
mrnas	1196
amplified	1179
sirna	1161
isoform	1157
knockdown	1156
inhibited	1153
mediates	1139
null	1123
localization	1118
regulate	1117
polymorphism	1112
receptor	1106
polyclonal	1086
keywords	1073
nucleotide	1071
homolog	1062
exhibit	1058
genotype	1056
tumor	1054
peptide	1050
transcriptional	1045
predicted	1038
vector	1038
complexes	1028
isoforms	1026
cannot	1018
exhibits	1012
overexpressed	1005
associates	1003
vitro	994
signaling	975
intron	974
pathway	970
loci	967
gapdh	966
residues	956
omim	946
purified	945
snps	935
mutated	932
cdnas	931
localizes	927
upregulated	926
according	923
reverse	918
enhances	917
yeast	915
vivo	908
activated	908
correlated	890
interacting	884
figs	878
decreases	867
clones	857
homologue	853
putative	851
genotypes	850
fused	850
implicated	849
encode	834
immunoreactivity	834
abbreviations	830
inhibit	822
phosphorylation	820
activates	814
dans	809
domains	807
possesses	803
lacks	802
monoclonal	799
mammalian	789
induce	779
participates	778
subunit	777
assay	775
terminal	771
mapped	769
modulates	764
probes	760
antisense	759
recombinant	754
sequencing	749
suppresses	746
amplification	744
preferentially	739
correlates	738
promoters	738
missense	733
plasmids	723
downstream	722
apoptosis	719
phenotype	719
biol	716
transgenic	712
marker	711
suppressed	711
homo	710
overexpressing	703
antiserum	702
characterized	701
regulating	699
mediate	697
transfection	696
targeted	692
homologous	689
cultured	685
negatively	685
silencing	683
conserved	680
inhibitor	677
stimulates	675
immunostaining	672
upstream	669
pour	656
beta	651
incubated	648
additionally	645
downregulated	644
stimulated	639
splice	639
selectively	638
kinase	635
haplotype	634
mitochondrial	628
labeled	628
hela	625
alpha	621
sont	618
phosphorylated	617
confers	616
upregulation	611
markers	609
depletion	608
deleted	605
evaluated	604
degradation	601
modulate	601
homozygous	594
downregulation	592
autosomal	589
resides	589
associate	588
targeting	587
fold	586
facilitates	585
differentially	585
heterozygous	582
functionally	581
interacted	576
haplotypes	575
endogenous	571
messenger	570
elevated	570
murine	567
intracellular	567
inactivation	566
peptides	565
cytoplasmic	565
screening	563
sapiens	562
homology	559
exerts	557
activate	557
luciferase	554
acknowledgements	551
biochem	550
homologs	548
synthesized	548
homologues	546
immunoprecipitated	544
deletions	534
neuronal	534
suppression	532
splicing	525
normalized	523
cruz	523
substrate	522
abcam	519
methylation	517
assays	517
differs	515
corresponds	513
designated	512
abundance	512
defect	511
neurons	510
acknowledgments	509
detectable	507
yielded	507
alters	504
impairs	503
catalyzes	501
subunits	496
constitutively	495
pathways	491
shrna	490
tagged	489
protects	489
polypeptide	487
vectors	486
insulin	485
ortholog	485
antigen	483
tubulin	483
arrows	480
stained	480
enzymes	480
spans	480
inhibitors	479
fluorescence	477
undergoes	477
depleted	476
termed	475
composed	475
blot	474
basal	474
flanking	474
blocked	473
impaired	470
orthologs	469
tumors	468
carriers	466
cyclin	466
recognizes	457
terminus	456
immunohistochemistry	453
